combinacion,accuracy,f1,precision,recall
('volatile_acidity', 'residual_sugar', 'pH', 'sulphates'),0.48757396449704143,0.4578112794656734,0.462460797034291,0.48757396449704143
('volatile_acidity', 'residual_sugar', 'pH', 'alcohol'),0.5242603550295858,0.4967157580089999,0.48109138250762074,0.5242603550295858
('volatile_acidity', 'residual_sugar', 'sulphates', 'alcohol'),0.5337278106508876,0.5082399913526356,0.5208502760221164,0.5337278106508876
('volatile_acidity', 'chlorides', 'free_sulfur_dioxide', 'total_sulfur_dioxide'),0.5100591715976331,0.48935561044829995,0.49366111449843664,0.5100591715976331
('volatile_acidity', 'chlorides', 'free_sulfur_dioxide', 'density'),0.4982248520710059,0.47319329901145607,0.47376720806665856,0.4982248520710059
('volatile_acidity', 'chlorides', 'free_sulfur_dioxide', 'pH'),0.4840236686390533,0.4563805949184238,0.4616198565312651,0.4840236686390533
('volatile_acidity', 'chlorides', 'free_sulfur_dioxide', 'sulphates'),0.4982248520710059,0.46781246104323027,0.4737074890921045,0.4982248520710059
('volatile_acidity', 'chlorides', 'free_sulfur_dioxide', 'alcohol'),0.5360946745562131,0.5100231419682405,0.5277241565031099,0.5360946745562131
('volatile_acidity', 'chlorides', 'total_sulfur_dioxide', 'density'),0.5100591715976331,0.486404318330854,0.5066575160960157,0.5100591715976331
('volatile_acidity', 'chlorides', 'total_sulfur_dioxide', 'pH'),0.48757396449704143,0.46047686184578723,0.4493807394690987,0.48757396449704143
('volatile_acidity', 'chlorides', 'total_sulfur_dioxide', 'sulphates'),0.4982248520710059,0.46940462266778055,0.45484917136262704,0.4982248520710059
('volatile_acidity', 'chlorides', 'total_sulfur_dioxide', 'alcohol'),0.5538461538461539,0.527733106205941,0.5111617778140657,0.5538461538461539
('volatile_acidity', 'chlorides', 'density', 'pH'),0.4911242603550296,0.46524666846687307,0.4518651226186499,0.4911242603550296
('volatile_acidity', 'chlorides', 'density', 'sulphates'),0.5136094674556213,0.4800556821127325,0.47297545759084214,0.5136094674556213
('volatile_acidity', 'chlorides', 'density', 'alcohol'),0.5254437869822485,0.4975891542129718,0.48624958597761253,0.5254437869822485
('volatile_acidity', 'chlorides', 'pH', 'sulphates'),0.4804733727810651,0.4552767883082299,0.4535410813246669,0.4804733727810651
('volatile_acidity', 'chlorides', 'pH', 'alcohol'),0.5491124260355029,0.5225878294158156,0.5070062588540815,0.5491124260355029
('volatile_acidity', 'chlorides', 'sulphates', 'alcohol'),0.5349112426035503,0.5053820032927827,0.4912722686929392,0.5349112426035503
